"Ticker,Seciruty,Sector,Industry"
"INCY,Incyte,Health Care,Health Care,Pharmaceuticals, Biotechnology & Life Sciences"
"IP,International Paper,Materials,Materials,"
"IPG,Interpublic Group,Consumer Discretionary,Media"
"IFF,Intl Flavors & Fragrances,Materials,Materials,"
"INTU,Intuit Inc,Software & Services"
"ISRG,Intuitive Surgical Inc,Health Care Equipment & Services"
"IVZ,Invesco Ltd,Financials,Diversified Financials"
"IQV,IQVIA Holdings Inc,Health Care,Pharmaceuticals, Biotechnology & Life Sciences"
"IRM,Iron Mountain Incorporated,Real Estate,Real Estate,"
"JEC,Jacobs Engineering Group,Industrials,Capital Goods"
"JBHT,J B Hunt Transport Services,Industrials,Transportation"
"SJM,JM Smucker,Consumer Staples,Food Beverage & Tobacco"
"JNJ,Johnson & Johnson,Health Care,Health Care Equipment & Services"
"JCI,Johnson Controls International,Industrials,Capital Goods"
"JPM,JPMorgan Chase & Co,Financials,Banks"
"JNPR,Juniper Networks,Information Technology,Technology Hardware & Equipment"
"KSU,Kansas City Southern,Industrials,Transportation"
"K,Kellogg Co,Consumer Staples,Food Beverage & Tobacco"
"KEY,KeyCorp,Financials,Banks"
"KMB,Kimberly-Clark,Consumer Staples,Household & Personal Products"
"KIM,Kimco Realty,Real Estate,Real Estate,"
"KMI,Kinder Morgan,Energy,Energy,"
"KLAC,KLA-Tencor Corp,Information Technology,Semiconductors & Semiconductor Equipment"
"KSS,Kohl's Corp,Consumer Discretionary,Retailing"
"KHC,Kraft Heinz Co,Consumer Staples,Food Beverage & Tobacco"
"KR,Kroger Co,Consumer Staples,Household & Personal Products"
"LB,L Brands Inc,Consumer Discretionary,Retailing"
"LLL,L-3 Communications Holdings,Industrials,Capital Goods"
"LH,Laboratory Corp of America Holding,Health Care,Health Care Equipment & Services"
"LRCX,Lam Research,Information Technology,Semiconductors & Semiconductor Equipment"
"LEG,Leggett & Platt,Consumer Discretionary,Consumer Durables & Apparel"
"LEN,Lennar Corp,Consumer Discretionary,Consumer Durables & Apparel"
"LUK,Leucadia National Corp,Financials,Diversified Financials"
"LLY,Eli Lilly & Co,Health Care,Pharmaceuticals, Biotechnology & Life Sciences"
"LNC,Lincoln National,Financials,Insurance"
"LKQ,LKQ Corporation,Consumer Discretionary,Retailing"
"LMT,Lockheed Martin Corp,Industrials,Capital Goods"
"L,Loews Corp,Financials,Insurance"
"LOW,Lowe's Companies Inc,Consumer Discretionary,Retailing"
"LYB,LyondellBasell,Materials,Materials,"
"MTB,M&T Bank Corp,Financials,Banks"
"MAC,Macerich,Real Estate,Real Estate,"
"M,Macy's Inc,Consumer Discretionary,"
"MRO,Marathon Oil Corp,Energy,Energy,"
"MPC,Marathon Petroleum,Energy,Energy,"
"MAR,Marriott Int'l,Consumer Discretionary,Consumer Services"
"MMC,Marsh & McLennan,Financials,Insurance"
"MLM,Martin Marietta Materials,Materials,Materials,"
"MAS,Masco Corp,Industrials,Capital Goods"
"MA,Mastercard Inc,Information Technology,Software & Services"
"MAT,Mattel Inc,Consumer Discretionary,Consumer Durables & Apparel"
"MKC,McCormick & Co,Consumer Staples,Food Beverage & Tobacco"
"MCD,McDonald's Corp,Consumer Discretionary,Consumer Services"
"MCK,McKesson Corp,Health Care,Health Care Equipment & Services"
"MDT,Medtronic plc,Health Care,Health Care Equipment & Services"
"MRK,Merck & Co,Health Care,Pharmaceuticals, Biotechnology & Life Sciences"
"MET,MetLife Inc,Financials,Insurance"
"MTD,Mettler Toledo,Health Care,Pharmaceuticals, Biotechnology & Life Sciences"
"MGM,MGM Resorts International,Consumer Discretionary,Consumer Services"
"KORS,Michael Kors Holdings,Consumer Discretionary,Consumer Durables & Apparel"
"MCHP,Microchip Technology,Information Technology,Semiconductors & Semiconductor Equipment"
"MU,Micron Technology,Information Technology,Semiconductors & Semiconductor Equipment"
"MSFT,Microsoft Corp,Information Technology,Software & Services"
"MAA,Mid-America Apartments,Real Estate,Real Estate,"
"MHK,Mohawk Industries,Consumer Discretionary,Consumer Durables & Apparel"
"TAP,Molson Coors Brewing Company,Consumer Staples,Food Beverage & Tobacco"
"MDLZ,Mondelez International,Consumer Staples,Food Beverage & Tobacco"
"MON,Monsanto Co,Materials,Materials,"
"MNST,Monster Beverage,Consumer Staples,Food Beverage & Tobacco"
"MCO,Moody's Corp,Financials,Diversified Financials"
"MS,Morgan Stanley,Financials,Diversified Financials"
"MOS,The Mosaic Company,Materials,Materials,"
"MSI,Motorola Solutions Inc,Information Technology,Technology Hardware & Equipment"
"MYL,Mylan NV,Health Care,Pharmaceuticals, Biotechnology & Life Sciences"
"NDAQ,Nasdaq Inc,Financials,Diversified Financials"
"NOV,National Oilwell Varco Inc,Energy,"
"NAVI,Navient,Financials,Diversified Financials"
"NTAP,NetApp,Information Technology,Software & Services"
"NFLX,Netflix Inc,Information Technology,Software & Services"
"NWL,Newell Brands,Consumer Discretionary,Consumer Durables & Apparel"
"NFX,Newfield Exploration Co,Energy,Energy,"
"NEM,Newmont Mining Corporation,Materials,Materials,"
"NWSA,News Corp Class A,Consumer Discretionary,Media"
"NWS,News Corp. Class B,Consumer Discretionary,Media"
"NEE,NextEra Energy,Utilities,Utilities"
"NLSN,Nielsen Holdings,Industrials,Commercial & Professional Services"
"NKE,Nike,Consumer Discretionary,Consumer Durables & Apparel"
"NI,NiSource Inc,Utilities,Utilities"
"NBL,Noble Energy Inc,Energy,Energy,"
"JWN,Nordstrom,Consumer Discretionary,Retailing"
"NSC,Norfolk Southern Corp,Industrials,Transportation"
"NTRS,Northern Trust Corp,Financials,Diversified Financials"
"NOC,Northrop Grumman Corp,Industrials,Capital Goods"
"NCLH,Norwegian Cruise Line,Consumer Discretionary,Consumer Services"
"NRG,NRG Energy,Utilities,Utilities,"
"NUE,Nucor Corp,Materials,Materials,"
"NVDA,Nvidia Corporation,Information Technology,Semiconductors & Semiconductor Equipment"
"ORLY,O'Reilly Automotive,Consumer Discretionary,Retailing"
"OXY,Occidental Petroleum,Energy,Energy,"
"OMC,Omnicom Group,Consumer Discretionary,Media"
"OKE,ONEOK,Energy,Energy,"
"ORCL,Oracle Corp,Information Technology,Software & Services"
"PCAR,PACCAR Inc,Industrials,Capital Goods"
"PKG,Packaging Corporation of America,Materials,Materials,"
"PH,Parker-Hannifin,Industrials,Capital Goods"
"PDCO,Patterson Companies,Health Care,Health Care Equipment & Services"
"PAYX,Paychex Inc,Information Technology,Software & Services"
"PYPL,PayPal,Information Technology,Software & Services"
"PNR,Pentair Ltd,Industrials,Capital Goods"
"PBCT,People's United Financial,Financials,Banks"
"PEP,PepsiCo Inc,Consumer Staples,Food Beverage & Tobacco"
"PKI,PerkinElmer,Health Care,Health Care Equipment & Services"
"PRGO,Perrigo,Health Care,Pharmaceuticals, Biotechnology & Life Sciences"
"PFE,Pfizer Inc,Health Care,Pharmaceuticals, Biotechnology & Life Sciences"
"PCG,PG&E Corp,Utilities,Utilities"
"PM,Philip Morris International,Consumer Staples,Food Beverage & Tobacco"
"PSX,Phillips 66,Energy,Energy,"
"PNW,Pinnacle West Capital,Utilities,Utilities,"
"PXD,Pioneer Natural Resources,Energy,Energy,"
"PNC,PNC Financial Services,Financials,Banks"
"RL,Polo Ralph Lauren Corp,Consumer Discretionary,Consumer Durables & Apparel"
"PPG,PPG Industries,Materials,Materials,"
"PPL,PPL Corp,Utilities,Utilities,"
"PX,Praxair Inc,Materials,Materials,"
"PCLN,Priceline.com Inc,Consumer Discretionary,Retailing"
"PFG,Principal Financial Group,Financials,Insurance"
"PG,Procter & Gamble,Consumer Staples,Household & Personal Products"
"PGR,Progressive Corp,Financials,Insurance"
"PLD,Prologis,Real Estate,Real Estate,"
"PRU,Prudential Financial,Financials,Insurance"
"PEG,Public Serv Enterprise Inc,Utilities,Utilities,"
"PSA,Public Storage,Real Estate,Real Estate,"
"PHM,Pulte Homes Inc,Consumer Discretionary,Consumer Durables & Apparel"
"PVH,PVH Corp,Consumer Discretionary,Consumer Durables & Apparel"
"QRVO,Qorvo,Information Technology,Semiconductors & Semiconductor Equipment"
"PWR,Quanta Services Inc,Industrials,Capital Goods"
"QCOM,QUALCOMM Inc,Information Technology,Semiconductors & Semiconductor Equipment"
"DGX,Quest Diagnostics,Health Care,Health Care Equipment & Services"
"RRC,Range Resources Corp,Energy,Energy,"
"RJF,Raymond James Financial Inc,Financials,Diversified Financials"
"RTN,Raytheon Co,Industrials,Capital Goods"
"O,Realty Income Corporation,Real Estate,Real Estate,"
"RHT,Red Hat Inc,Information Technology,Software & Services"
"REG,Regency Centers Corporation,Real Estate,Real Estate,"
"REGN,Regeneron,Health Care,Pharmaceuticals, Biotechnology & Life Sciences"
"RF,Regions Financial Corp,Financials,Banks"
"RSG,Republic Services Inc,Industrials,Commercial & Professional Services"
"RMD,ResMed,Health Care,Health Care Equipment & Services"
"RHI,Robert Half International,Industrials,Commercial & Professional Services"
"ROK,Rockwell Automation Inc,Industrials,Capital Goods"
"COL,Rockwell Collins,Industrials,Capital Goods"
"ROP,Roper Technologies,Industrials,Capital Goods,"
"ROST,Ross Stores,Consumer Discretionary,Retailing"
"RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,Consumer Services"
"CRM,Salesforce.com,Information Technology,Software & Services"
"SBAC,SBA Communications,Real Estate,Real Estate,"
"SCG,SCANA Corp,Utilities,Utilities,"
"SLB,Schlumberger Ltd,Energy,Energy,"
"SNI,Scripps Networks Interactive Inc,Consumer Discretionary,Media"
"STX,Seagate Technology,Information Technology,Technology Hardware & Equipment"
"SEE,Sealed Air,Materials,Materials,"
"SRE,Sempra Energy,Utilities,Utilities,"
"SHWM,Sherwin-Williams,Materials,Materials,"
"SIG,Signet Jewelers,Consumer Discretionary,Retailing"
"SPG,Simon Property Group Inc,Real Estate,Real Estate,"
"SWKS,Skyworks Solutions,Information Technology,Semiconductors & Semiconductor Equipment"
"SLG,SL Green Realty,Real Estate,Real Estate,"
"SNA,Snap-On Inc,Consumer Discretionary,Consumer Durables & Apparel"
"SO,Southern Co,Utilities,Utilities,"
"LUV,Southwest Airlines,Industrials,Transportation"
"SPGI,S&P Global Inc,Financials,Diversified Financials"
"SWK,Stanley Black & Decker,Consumer Discretionary,Consumer Durables & Apparel"
"SBUX,Starbucks Corp,Consumer Discretionary,Consumer Services"
"STT,State Street Corp,Financials,Diversified Financials"
"SRCL,Stericycle Inc,Industrials,Commercial & Professional Services"
"SYK,Stryker Corp,Health Care,Health Care Equipment & Services"
"STI,SunTrust Banks,Financials,Banks"
"SYMC,Symantec Corp,Information Technology,Software & Services"
"SYF,Synchrony Financial,Financials,Diversified Financials"
"SNPS,Synopsys Inc,Information Technology,Software & Services"
"SYY,Sysco Corp,Consumer Staples,Food & Staples Retailing"
"TROW,T Rowe Price Group,Financials,Diversified Financials"
"TPR,Tapestry Inc,Consumer Discretionary,Consumer Durables & Apparel"
"TGT,Target Corp,Consumer Discretionary,Retailing"
"TEL,TE Connectivity Ltd,Information Technology,Technology Hardware & Equipment"
"FTI,TechnipFMC,Energy,Energy,"
"TXN,Texas Instruments,Information Technology,Semiconductors & Semiconductor Equipment"
"TXT,Textron Inc,Industrials,Capital Goods"
"TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment & Services"
"TIF,Tiffany & Co,Consumer Discretionary,Consumer Durables & Apparel"
"TWX,Time Warner Inc,Consumer Discretionary,Media"
"TJX,TJX Companies Inc,Consumer Discretionary,Retailing"
"TMK,Torchmark Corp,Financials,Insurance"
"TSS,Total System Services,Information Technology,Software & Services"
"TSCO,Tractor Supply Company,Consumer Discretionary,Retailing"
"TDG,TransDigm Group,Industrials,Capital Goods"
"TRV,The Travelers Companies Inc,Financials,Insurance"
"TRIP,TripAdvisor,Consumer Discretionary,Retailing"
"FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,Media"
"FOX,Twenty-First Century Fox Class B,Consumer Discretionary,Media"
"TSN,Tyson Foods,Consumer Staples,Food Beverage & Tobacco"
"UDR,UDR Inc,Real Estate,Real Estate,"
"ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,Retailing"
"USB,US Bancorp,Financials,Banks"
"UAA,Under Armour Class A,Consumer Discretionary,Consumer Durables & Apparel"
"UA,Under Armour Class C,Consumer Discretionary,Consumer Durables & Apparel"
"UNP,Union Pacific,Industrials,Transportation"
"UAL,United Continental Holdings,Industrials,Transportation"
"UNH,United Health Group Inc,Health Care,Health Care Equipment & Services"
"UPS,United Parcel Service,Industrials,Transportation"
"URI,United Rentals Inc,Industrials,Capital Goods"
"UTX,United Technologies,Industrials,Capital Goods"
"UHS,Universal Health Services Inc,Health Care,Health Care Equipment & Services"
"UNM,Unum Group,Financials,Insurance"
"VFC,VF Corp,Consumer Discretionary,Consumer Durables & Apparel"
"VLO,Valero Energy,Energy,Energy,"
"VAR,Varian Medical Systems,Health Care,Health Care Equipment & Services"
"VTR,Ventas Inc,Real Estate,Real Estate,"
"VRSN,Verisign Inc,Information Technology,Software & Services"
"VRSK,Verisk Analytics,Industrials,Commercial & Professional Services"
"VZ,Verizon Communications,Telecommunication Services,Telecommunication Services,"
"VRTX,Vertex Pharmaceuticals Inc,Health Care,Pharmaceuticals, Biotechnology & Life Sciences"
"VIAB,Viacom Inc,Consumer Discretionary,Media"
"V,Visa Inc,Information Technology,Software & Services"
"VNO,Vornado Realty Trust,Real Estate,Real Estate,"
"VMC,Vulcan Materials,Materials,Materials,"
"WMT,Wal-Mart Stores,Consumer Staples,Food & Staples Retailing"
"WBA,Walgreens Boots Alliance,Consumer Staples,Food & Staples Retailing"
"DIS,The Walt Disney Company,Consumer Discretionary,Media"
"WM,Waste Management Inc,Industrials,Commercial & Professional Services"
"WAT,Waters Corporation,Health Care,Health Care Equipment & Services"
"WEC,Wec Energy Group Inc,Utilities,Utilities,"
"WFC,Wells Fargo,Financials,Banks"
"HCN,Welltower Inc,Real Estate,Real Estate,"
"WDC,Western Digital,Information Technology,Technology Hardware & Equipment"
"WU,Western Union Co,Information Technology,Software & Services"
"WRK,WestRock Company,Materials,Materials,"
"WY,Weyerhaeuser Corp,Real Estate,Real Estate,"
"WHR,Whirlpool Corp,Consumer Discretionary,Consumer Durables & Apparel"
"WMB,Williams Cos,Energy,Energy,"
"WLTW,Willis Towers Watson,Financials,Insurance"
"WYN,Wyndham Worldwide,Consumer Discretionary,Consumer Services"
"WYNN,Wynn Resorts Ltd,Consumer Discretionary,Consumer Services"
"XEL,Xcel Energy Inc,Utilities,Utilities,"
"XRX,Xerox Corp,Information Technology,Technology Hardware & Equipment"
"XLNX,Xilinx Inc,Information Technology,Semiconductors & Semiconductor Equipment"
"XL,XL Capital,Financials,Insurance"
"XYL,Xylem Inc,Industrials,Capital Goods"
"YUM,Yum! Brands Inc,Consumer Discretionary,Consumer Services"
"ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment & Services"
"ZION,Zions Bancorp,Financials,Banks"
"ZTS,Zoetis,Health Care,Pharmaceuticals, Biotechnology & Life Sciences"
